what,when,with,where,why
Double-Certified Data Science Instructor for Tidyverse and Shiny,Jun. 2020 - Present,RStudio PBC,"Boston, MA",\href{https://jooyoungseo.github.io/certificates/seo+jooyoung+shiny.pdf}{See certificate.}
,,,,\href{https://education.rstudio.com/trainers/people/seo+jooyoung/}{Find me in the Rstudio's trusted trainer list}
Certified Expert with NVDA (Non-Visual Desktop Access) Screen Reader,Dec. 2019 - Present,NV Access,"Lucia South, QLD, Australia",\href{https://jooyoungseo.github.io/certificates/NVDA_Certified_Expert.pdf}{See certificate.}
Certified Professional in Accessibility Core Competencies,Apr. 2017 - Present,International Association of Accessibility Professional,"Atlanta, GA",\href{https://jooyoungseo.github.io/certificates/CPACC_Certificate.pdf}{See certificate.}
Licensed English Teacher (Secondary Education),Feb. 2014 - Present,Korean Ministry of Education,"Sejong, South Korea",\href{https://jooyoungseo.github.io/certificates/Teacher_Certificate_for_English.pdf}{See certificate.}
Licensed General Education Teacher (Secondary Education),Feb. 2014 - Present,Korean Ministry of Education,"Sejong, South Korea",\href{https://jooyoungseo.github.io/certificates/Teacher_Certificate_for_Education.pdf}{See certificate.}
Python for Data Science and AI,Apr. 2020 - Present,IBM,\href{https://www.coursera.org}{Coursera},\href{https://www.youracclaim.com/badges/13a8db8a-3803-4880-8164-d0cb9aecfecc/public_url}{See certificate.}
Data Analysis with Python,Apr. 2020 - Present,IBM,\href{https://www.coursera.org}{Coursera},\href{https://www.youracclaim.com/badges/49264c60-e6a1-4227-b933-567c232cf610/public_url}{See certificate.}
Databases and SQL for Data Science,Apr. 2020 - Present,IBM,\href{https://www.coursera.org}{Coursera},\href{https://www.youracclaim.com/badges/6e5fec1c-53ff-4ec1-8602-956e88ece5a8/public_url}{See certificate.}
Data Science Methodology,Mar. 2020 - Present,IBM,\href{https://www.coursera.org}{Coursera},\href{https://www.youracclaim.com/badges/98ce261d-0fa6-47ff-95f0-c31e0cb2d9fe/public_url}{See certificate.}
Open Source Tools for Data Science,Mar. 2020 - Present,IBM,\href{https://www.coursera.org}{Coursera},\href{https://www.youracclaim.com/badges/a78f0b2a-f708-46a4-81ae-16ea6bde3618/public_url}{See certificate.}
