what,when,with,where,why
Sloan Foundation,Aug. 2022 - Aug. 2023,,,Whole Tale Accessibility Project
,,,,
Corporate Partner R&D Funding,Unrestircted,RStudio PBC,"Boston, MA",Improving Accessible Reproducibility for Data Science Publishing System
Wallace Foundation grant,Jan. 2022 - Dec. 2022,Emerging Scholars Program,International Society of the Learning Sciences,Data Accessibilization: Making Data Science Education Accessible for Blind Learners
,,,,"Awarded funding amount: $10,000.00."
Dissertation Research Initiation Grant,Feb. 2020 - Dec. 2020,"College of Education, The Pennsylvania State University","University Park, PA",Selected as one of the 10 outstanding dissertation research proposals in 2019-2020 academic year.
,,,,Funding amount: $600 USD.
Doctoral Research,2016 - 2018,ChungInwook Scholarship Foundation,"Seoul, South Korea","Funding amount: $30,000 USD."
Innovative Research Funding,Mar. 2016 - Aug. 2017,"Center for Online Innovation in Learning, The Pennsylvania State University","University Park, PA",Providing Touchable Knowledge Structure Graphic Feedback for Blind Online Learners: Tablet-Based Haptic Feedback and Paper-Based Tactile Feedback
,,,,Developed a prototype website and mobile app for accessible knowledge structure.
,,,,Co-led (Co-PI) a development project funded by Penn State to provide blind online learners with accessible network graphs that measure students’ knowledge structure.
,,,,"Funding amount: $33,060 USD."
Future Interdisciplinary Study,2014 - 2016,"National Institute for International Education, Korean Government","Seoul, South Korea",Fully sponsored by Korean Government for the Master's research.
,,,,"Funding amount: $70,000 USD."
ICE Soft: I See through Assistive Technology,Jul. 2010 - Jun. 2011,"Seed Funding for Start-Up Company for the Youth, City of Seoul","Seoul, South Korea",Co-Founded and Project-Managed ICE Soft.
,,,,Worked with a team and developed an gps app for the blind.
,,,,"Funding amount: $30,000 USD."
