what,when,with,where,why
Project Manager,Sep. 2020 - Jul. 2021,Learning Math with Jupyter Notebooks,"University Park, PA",Assisting Dr. Jan Reimann (Associate Professor of Mathematics) in developing accessible Jupyter Notebook systems for Math 110 (Techniques of Calculus).
Principal Investigator,May. 2019 - Jul. 2021,Online Interactions of the Blind Research Project,"University Park, PA",Conducting quantitative ethnography research on how blind learners pursue STEM disciplines as captured through a large-scale  mailing listservs.
,,,,"Using data science, computational linguistics (i.e., unsupervised machine learning for text mining; natural language processing) approaches coupled with conventional ethnographic methods."
Project Manager,May. 2018 - Jul. 2021,"Accessible RMarkdown Online Writer (AROW) Project, Teaching and Learning with Technology (TLT)","University Park, PA","Developed an accessible web application for people with dis/abilities to easily compose a high-quality scientific document based on LAMP, AJAX, R Markdown, and MathML."
Principal Investigator,Jun. 2017 - Jul. 2021,Accessibility of Maker Toolkits Research Project,"University Park, PA",Conducting usability and design research on how to make current electronics and maker toolkits more accessible for learners with visual impairments.
Graduate Researcher,Aug. 2016 - Jul. 2021,Playful Learning and Inclusive Design Research Group,"University Park, PA",Conducting interaction analysis and microethnographic studies for Dr. Gabriela Richard's inclusive gaming for learning and accessible makerspaces for youth with diverse background.
Graduate Assistant,Aug. 2016 - Jul. 2021,"IT Accessibility Team, Teaching and Learning with Technology (TLT)","University Park, PA",Developing and consulting accessible HTML5/CSS3/JS webpages for Penn State University sites and learning management tools.
,,,,Evaluating suitability of digital badges according to web content accessibility guidelines (WCAG) 2.0.
Graduate Researcher,Sep. 2014 - May. 2016,Avenue PM Research Group,"University Park, PA",Participated in Dr. Simon Hooper's grant project sponsored by the U.S. Department of Education Stepping Stones Phase II program.
,,,,Improved web accessibility for deaf-blind learners by removing blockers on website platform.
